Series,Release,Game,Platform,Done
Tekken,1997,Tekken 3,Sony PS1,Yes
Tekken,2007,Tekken 6,Sony PSP,Yes
Tomb Raider,2013,Tomb Raider,Microsoft Windows,Yes
Tomb Raider,2015,Rise of the Tomb Raider,Microsoft Windows,Yes
Tomb Raider,2018,Shadow of the Tomb Raider,Microsoft Windows,
Valkyrie Profile,1999,Valkyrie Profile,Sony PS1,Yes
Vanillaware,2007,Odin Sphere,Sony PSV,
Vanillaware,2009,Muramasa Rebirth,Sony PSV,
Vanillaware,2013,Dragon's Crown,Sony PSV,
Vanillaware,2019,13 Sentinels: Aegis Rim,Nintendo Switch,
White Wolf,2004,Vampire: The Masquerade Bloodlines,Microsoft Windows,Yes
Wario,1994,Wario Land,Nintendo GB,
Wario,1998,Wario Land 2,Nintendo GBC,
Wario,2000,Wario Land 3,Nintendo GBC,
Wario,2001,Wario Land 4,Nintendo GBA,
Wipeout,1995,Wipeout,Sony PS1,Yes
Wipeout,1996,Wipeout 2097,Sony PS1,Yes
Wipeout,1999,Wipeout 3,Sony PS1,Yes
Wipeout,2005,Wipeout Pure,Sony PSP,Yes
Wipeout,2007,Wipeout Pulse,Sony PSP,Yes
Wipeout,2012,Wipeout 2048,Sony PSV,Yes
Witcher,2007hd,The Witcher,Microsoft Windows,Yes
Witcher,2011,The Witcher 2: Assassins of Kings,Microsoft Windows,Yes
Witcher,2015,The Witcher 3: Wild Hunt,Microsoft Windows,Yes
Xeno,1998,Xenogears,Sony PS1,Yes
Xeno,2002,Xenosaga Episode I,Sony PS2,
Xeno,2004,Xenosaga Episode II,Sony PS2,
Xeno,2006,Xenosaga Episode III,Sony PS2,
Xeno,2010,Xenoblade Chronicles,Nintendo Switch,
Xeno,2015,Xenoblade Chronicles X,Nintendo Wii U,Yes
Xeno,2017,Xenoblade Chronicles 2,Nintendo Switch,Yes
Xeno,2022,Xenoblade Chronicles 3,Nintendo Switch,
Zelda,1991,The Legend of Zelda: A Link to the Past,Nintendo SNES,
Zelda,1993hd,The Legend of Zelda: Link's Awakening,Nintendo Switch,Yes
Zelda,1998,The Legend of Zelda: Ocarina of Time,Nintendo 3DS,
Zelda,2000,The Legend of Zelda: Majora's Mask,Nintendo 3DS,
Zelda,2001,The Legend of Zelda: Oracle of Ages,Nintendo GBC,
Zelda,2001,The Legend of Zelda: Oracle of Seasons,Nintendo GBC,
Zelda,2002,The Legend of Zelda: The Wind Waker,Nintendo Wii U,
Zelda,2004,The Legend of Zelda: Four Swords Adventures,Nintendo DS,
Zelda,2004,The Legend of Zelda: The Minish Cap,Nintendo GBA,Yes
Zelda,2006,The Legend of Zelda: Twilight Princess,Nintendo Wii U,
Zelda,2007,The Legend of Zelda: Phantom Hourglass,Nintendo DS,
Zelda,2009,The Legend of Zelda: Spirit Tracks,Nintendo DS,
Zelda,2011,The Legend of Zelda: Skyward Sword,Nintendo Switch,
Zelda,2013,The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,Yes
Zelda,2015,The Legend of Zelda: Tri Force Heroes,Nintendo 3DS,
Zelda,2017,The Legend of Zelda: Breath of the Wild,Nintendo Switch,Yes
Zelda,2023,The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,
Zone of the Enders,2001,Zone of the Enders,Sony PS3,
Zone of the Enders,2003,Zone of the Enders: The 2nd Runner,Sony PS3,
